TABLE_NAME                                                                                        COLUMN_NAME                                                                                       RDB$FIELD_POSITION    RDB$FIELD_TYPE    RDB$FIELD_SUB_TYPE    RDB$FIELD_LENGTH    
==============================================================================================    ==============================================================================================    ==================    ==============    ==================    ================    
ACTIVATIONKEY                                                                                     ID                                                                                                                 0                16                     1                   8    
ACTIVATIONKEY                                                                                     AMODULE                                                                                                            1                 8                     0                   4    
ACTIVATIONKEY                                                                                     ACTIVATIONKEY                                                                                                      2                37                     0                 255    
ADDRESSTYPE                                                                                       ID                                                                                                                 0                 8                     0                   4    
ADDRESSTYPE                                                                                       LOCATIONID                                                                                                         1                 8                     0                   4    
ADDRESSTYPE                                                                                       ADDRESSTYPE                                                                                                        2                37                     0                  20    
AGREEDDELIVERYPRICE                                                                               ID                                                                                                                 0                16                     1                   8    
AGREEDDELIVERYPRICE                                                                               LOCATIONID                                                                                                         1                 8                     0                   4    
AGREEDDELIVERYPRICE                                                                               STORAGEID                                                                                                          2                16                     1                   8    
AGREEDDELIVERYPRICE                                                                               MATERIALCODE                                                                                                       3                 8                     0                   4    
AGREEDDELIVERYPRICE                                                                               AGREEDDELIVERYPRICE                                                                                                4                16                     1                   8    
AGREEDDELIVERYPRICE                                                                               ACTIVEFROM                                                                                                         5                35                     0                   8    
AGREEDDELIVERYPRICE                                                                               ACTIVETO                                                                                                           6                35                     0                   8    
AGREEDDELIVERYPRICE                                                                               PARTNERNUM                                                                                                         7                 8                     0                   4    
AGREEDDELIVERYPRICE                                                                               PARTNERLOCATIONNUM                                                                                                 8                 8                     0                   4    
AGREEDDELIVERYPRICE                                                                               PARTNERCONTACTNUM                                                                                                  9                 8                     0                   4    
AGREEDDELIVERYPRICE                                                                               ADITIONALDISCOUNTPERCENTAGE                                                                                       10                 8                     1                   4    
APPLICATIONSETTINGS                                                                               ID                                                                                                                 0                 8                     0                   4    
APPLICATIONSETTINGS                                                                               SETTINGALIASID                                                                                                     1                 8                     0                   4    
APPLICATIONSETTINGS                                                                               SETTINGNUM                                                                                                         2                 8                     0                   4    
APPLICATIONSETTINGS                                                                               SETTINGVALUE                                                                                                       3               261                     1                   8    
AREAINFO                                                                                          ID                                                                                                                 0                 8                     0                   4    
AREAINFO                                                                                          LOCATIONID                                                                                                         1                 8                     0                   4    
AREAINFO                                                                                          AREATYPEID                                                                                                         2                 8                     0                   4    
AREAINFO                                                                                          STREET                                                                                                             3                37                     0                  50    
AREAINFO                                                                                          ADDRESSTYPE                                                                                                        4                37                     0                  20    
AREAINFO                                                                                          STREETCAPITALS                                                                                                     5                37                     0                  50    
AREATYPE                                                                                          ID                                                                                                                 0                 8                     0                   4    
AREATYPE                                                                                          LOCATIONID                                                                                                         1                 8                     0                   4    
AREATYPE                                                                                          AREA                                                                                                               2                37                     0                  20    
AREATYPE                                                                                          SERVICELOCATIONID                                                                                                  3                 8                     0                   4    
BARCODE                                                                                           ID                                                                                                                 0                16                     1                   8    
BARCODE                                                                                           LOCATIONID                                                                                                         1                 8                     0                   4    
BARCODE                                                                                           STORAGEID                                                                                                          2                16                     1                   8    
BARCODE                                                                                           STORAGEMATERIALCODE                                                                                                3                 8                     0                   4    
BARCODE                                                                                           CODE                                                                                                               4                37                     0                  40    
BARCODE                                                                                           MATERIALATTRIBUTE01_ID                                                                                             5                 8                     0                   4    
BARCODE                                                                                           MATERIALATTRIBUTE02_ID                                                                                             6                 8                     0                   4    
BARCODE                                                                                           MATERIALATTRIBUTE03_ID                                                                                             7                 8                     0                   4    
BARCODE                                                                                           MATERIALATTRIBUTE04_ID                                                                                             8                 8                     0                   4    
BARCODE                                                                                           MATERIALATTRIBUTE05_ID                                                                                             9                 8                     0                   4    
BARCODE                                                                                           QTY                                                                                                               10                16                     1                   8    
BARCODEMASK                                                                                       ID                                                                                                                 0                16                     1                   8    
BARCODEMASK                                                                                       LOCATIONID                                                                                                         1                 8                     0                   4    
BARCODEMASK                                                                                       PREFIX                                                                                                             2                37                     0                   2    
BARCODEMASK                                                                                       CODE                                                                                                               3                37                     0                   5    
BARCODEMASK                                                                                       CHSUM                                                                                                              4                37                     0                   1    
BARCODEMASK                                                                                       BATCH                                                                                                              5                14                     0                   1    
BARCODEMASK                                                                                       QTY                                                                                                                6                37                     0                   7    
BARCODEREPORT                                                                                     ID                                                                                                                 0                 8                     0                   4    
BARCODEREPORT                                                                                     BARCODE                                                                                                            1                37                     0                  40    
BILLABLETIME                                                                                      ID                                                                                                                 0                 8                     0                   4    
BILLABLETIME                                                                                      LOCATIONID                                                                                                         1                 8                     0                   4    
BILLABLETIME                                                                                      DBTYPE                                                                                                             2                 7                     0                   2    
BILLABLETIME                                                                                      LOCATIONNAMEID                                                                                                     3                 8                     0                   4    
BILLABLETIME                                                                                      USERNAMEID                                                                                                         4                 8                     0                   4    
BILLABLETIME                                                                                      STARTDATETIME                                                                                                      5                35                     0                   8    
BILLABLETIME                                                                                      ENDDATETIME                                                                                                        6                35                     0                   8    
BILLABLETIME                                                                                      USERPOSITIONID                                                                                                     7                 8                     0                   4    
BLOCKMATERIAL                                                                                     ID                                                                                                                 0                 8                     0                   4    
BLOCKMATERIAL                                                                                     LOCATIONID                                                                                                         1                 8                     0                   4    
BLOCKMATERIAL                                                                                     STORAGEID                                                                                                          2                16                     1                   8    
BLOCKMATERIAL                                                                                     MATERIALCODE                                                                                                       3                 8                     0                   4    
BLOCKMATERIAL                                                                                     DELIVERYBLOCKFROM                                                                                                  4                35                     0                   8    
BLOCKMATERIAL                                                                                     DELIVERYBLOCKTO                                                                                                    5                35                     0                   8    
BLOCKMATERIAL                                                                                     SALEBLOCKFROM                                                                                                      6                35                     0                   8    
BLOCKMATERIAL                                                                                     SALEBLOCKTO                                                                                                        7                35                     0                   8    
BONUSPOINTMATERIAL                                                                                ID                                                                                                                 0                 8                     0                   4    
