"";"Склад";"Тип";"Номер";"Име на материал";"Мярка";"Наличност";"Средна покупна цена";"Стойност по средна доставна цена";"Последна покупна цена";"Продажна цена";"Сума пр.цени";"Среден % надценка";"Основен доставчик";"Основен доставчик - обект";"Основен доставчик - лице за контакт";"Производител";"Блокиран";"Дата на последна промяна";"Спецификация";"Средна покупна цена без ДДС";"Последна покупна цена без ДДС";"Вид на продукта";"Промоции";"Договорена покупна цена";"Договорена покупна цена % то";"Договорена покупна цена от дата";"Договорена покупна цена до дата";"Последен доставчик";"Последен доставчик Oбект";"Последен доставчик Лице за контакт";"Алтернативен доставчик";"Алтернативен доставчик Oбект";"Алтернативен доставчик Лице за контакт";"Баркод";"Категории"
"Грешно";"Услуги";"Услуга";"7";"Посещение до адрес на обект";"броя";"";"0";"";"0";"29";"";"";"";"";"";"";"не";"07.05.2024  15:33:20";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
"Грешно";"Услуги";"Услуга";"9";"Демонтаж на камери";"броя";"";"0";"";"0";"1";"";"";"";"";"";"";"не";"07.04.2024  9:18:16";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
"Грешно";"Услуги";"Услуга";"10";"Полагане лайсна";"броя";"";"0";"";"0";"2.3";"";"";"";"";"";"";"не";"07.04.2024  9:15:11";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
"Грешно";"Услуги";"Услуга";"11";"Окабеляване";"броя";"";"0";"";"0";"1.2";"";"";"";"";"";"";"не";"06.04.2024  21:03:36";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
"Грешно";"Услуги";"Услуга";"12";"Настройка на видеосистема";"броя";"";"0";"";"0";"104";"";"";"";"";"";"";"не";"10.04.2024  18:20:04";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"видеонаблюдение"
"Грешно";"Услуги";"Услуга";"13";"Транспорт";"броя";"";"0";"";"0";"1";"";"";"";"";"";"";"не";"06.04.2024  21:01:58";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
"Грешно";"Услуги";"Услуга";"19";"Такса абонаментен договор за СИМ Дейзи 6 месеца";"броя";"";"0";"";"0";"72";"";"";"";"";"";"";"не";"20.12.2023  11:26:55";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
"Грешно";"Услуги";"Услуга";"24";"Договор за обслужване стандарт с 1 раб. място за 1 месец";"броя";"";"0";"";"0";"83";"";"";"";"";"";"";"не";"06.04.2024  21:07:25";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
"Грешно";"Услуги";"Услуга";"25";"Доработка на фискално устройство ТР";"броя";"";"0";"";"0";"1";"";"";"";"";"";"";"не";"07.04.2024  9:34:05";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
"Грешно";"Услуги";"Услуга";"28";"Договор за сервиз на ФУ 12 месеца";"броя";"";"0";"";"0";"102";"";"";"";"";"";"";"не";"06.01.2025  21:45:09";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Касови апарати"
"Грешно";"Услуги";"Услуга";"45";"Фискализация";"броя";"";"0";"";"0";"49";"";"";"";"";"";"";"не";"06.04.2024  21:44:10";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Касови апарати"
"Грешно";"Услуги";"Услуга";"46";"Инсталация софтуер 1 раб. място";"броя";"";"0";"";"0";"35";"";"";"";"";"";"";"не";"19.06.2024  8:59:41";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
"Грешно";"Услуги";"Услуга";"47";"Инсталация и настройка търговски софтуер 1 раб. място";"броя";"";"0";"";"0";"64";"";"";"";"";"";"";"не";"19.06.2024  8:59:28";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Фискални системи"
"Грешно";"Услуги";"Услуга";"48";"Обучение";"броя";"";"0";"";"0";"25";"";"";"";"";"";"";"не";"07.04.2024  9:19:17";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
"Грешно";"Услуги";"Услуга";"55";"Пълнене на тонер";"броя";"";"0";"";"0";"38";"";"";"";"";"";"";"не";"07.04.2024  9:39:27";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
"Грешно";"Услуги";"Услуга";"69";"Профилактика";"броя";"";"0";"";"0";"15";"";"";"";"";"";"";"не";"07.04.2024  18:25:23";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
"Грешно";"Услуги";"Услуга";"84";"Услуга последваща заверка метрология";"броя";"";"0";"";"0";"50";"";"";"";"";"";"";"не";"29.10.2024  16:11:22";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Услуги"
